primary_energy_consumption,energy_class,reference_number_of_the_epc_report,co2_emission,yearly_theoretical_total_energy_consumption,price,address,listing_type,tenement_building,space,floor,kitchen_type,bedrooms,toilets,heating_type,double_glazing,number_of_floors,number_of_frontages,living_area,living_room_surface,bedroom_1_surface,furnished,terrace_surface,intercom,address2,website,external_reference,agency,building_condition,elevator,accessible_for_disabled_people,swimming_pool,available_as_of,description,type_of_building,outdoor_parking_spaces,bedroom_2_surface,bedroom_3_surface,bedroom_4_surface,bedroom_5_surface,construction_year,living_room,dining_room,laundry_room,basement,air_conditioning,jacuzzi,sauna,internet,surroundings_type,gas_water_and_electricity,id
Not specified,Not specified,Not specified,Not specified,Not specified,"€2,350/month
2350€ per month",1060 — SAINT-GILLES,House for rent,No,"5 bedrooms | 250 m²
square meters",999.0,Installed,Unknown,5.0,Gas,Yes,999.0,2.0,"250 m²
square meters","50 m²
square meters",Unknown,No,"10 m²
square meters",Yes,"Rue Camille Lemonnier , 68
1050 - Ixelles",http://www.brusselsrealestate.eu,5813 - 1981430,Brussels Real Estate,Good,Unknown,Unknown,Unknown,Unknown,"Saint Gilles, a nice 1900 house of +/- 250 m2 offering 5 large bedrooms -2 new shower rooms -1 one large bathroom - Nice equipped kitchen with access to the terrace ( SW) - Living room of +/- 50 m2 - Cellars - Brand new heating system - Laundry - Garage : 130 €/month - Energetic Cat. F- Co rental welcoimes. - Information and visit on : martine@brusselsrealestate.eu",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1900.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1198
"206 kWh/m²
kilowatt hour per square meters",D,20230102-0000630184-01-2,41 kg CO₂/m²,Not specified,"€910 (+ €51)
910€ + 51€ per month",1030 — Schaerbeek,Apartment for rent,No,"2 bedrooms | 75 m²
square meters",2.0,Unknown,"22 m²
square meters",1.0,Gas,Yes,4.0,2.0,"75 m²
square meters","< than 75 m²
square meters","22 m²
square meters",No,Unknown,Unknown,"rue du Monastère 12
1000 - Bruxelles ville",Unknown,10944 - L - 753,Best Partner Immobilière - Bruxelles,Unknown,Unknown,Unknown,Unknown,Immediately,"Close to Meiser, the European Communities and NATO, very nice apartment with a lot of charm located on the 2nd floor. It has a living room of +/- 30m² with open kitchen, a superb bedroom of +/- 22m², an office or children's room, a shower room accessible from the largest bedroom and a separate laundry room. Two typical Brussels balconies, overlooking one of the most beautiful avenues of Brussels, complete this program. All meters are individual (water, gas and electricity). The low charges amount to 51€ and include the common areas, the maintenance of the boiler and the insurance of the building. PEB D-. A crazy charm to discover without delay!.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1905.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1199
Not specified,Not specified,Not specified,Not specified,Not specified,"€750 (+ €50)
750€ + 50€ per month",1070 — Anderlecht,Studio for rent,No,"36 m²
square meters",3.0,USA installed,Unknown,1.0,Gas,Yes,3.0,2.0,"36 m²
square meters","10 m²
square meters",Unknown,Unknown,"6 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,Just renovated,No,No,No,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1960.0,Possible No,Yes,No,No,No,No,No,No,Landscape,Unknown,1200
"1194 kWh/m²
kilowatt hour per square meters",G,20220822-0000619102-01-4,240 kg CO₂/m²,Not specified,"€1,350 (+ €175)
1350€ + 175€ per month",Ask for the exact address,Duplex for rent,No,"1 bedroom | 85 m²
square meters",3.0,USA hyper equipped,Unknown,1.0,Gas,Unknown,4.0,2.0,"85 m²
square meters","17 m²
square meters",Unknown,No,"18 m²
square meters",Unknown,"Rue de Pervyse, 37
1040 - Etterbeek",http://www.immoschmidt.be,27820 - 18833,Immobilière Schmidt,Unknown,Unknown,Unknown,Unknown,Depending on the tenant,"Sorry, there is no English translation. IMMOSCHMIDT (Réf. 18833) - IXELLES (Châtelain) - LIBRE LE 01/02/2023 : Très bel appartement de +/- 85m² au 4ème et dernier étage se composant d'un salon avec un accès a une terrasse, d'une salle a manger avec une cuisine super équipée ouverte, d'une chambre, d'une buanderie avec une machine à laver, d'une salle de bain avec wc et d'un hall d'entrée. Double vitrage, Vidéophone et Alarme. Localisation idéale en face du Parc Tenbosch avec une magnifique vue sur ce parc. Proche des commerces et transports en commun. PEB: G (240 Kg/CO2/m²/an) Visites sur RDV au 02/736.77.44. Plus de détails et autres biens sur www.immoschmidt.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1924.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1201
"1194 kWh/m²
kilowatt hour per square meters",G,20220822-0000619102-01-4,240 kg CO₂/m²,Not specified,"€1,350 (+ €175)
1350€ + 175€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 85 m²
square meters",3.0,USA hyper equipped,Unknown,1.0,Gas,Unknown,4.0,2.0,"85 m²
square meters","17 m²
square meters",Unknown,No,"18 m²
square meters",Unknown,"Rue de Pervyse, 37
1040 - Etterbeek",http://www.immoschmidt.be,27812 - 18833,Immobilière Schmidt,Unknown,Unknown,Unknown,Unknown,Depending on the tenant,"Sorry, there is no English translation. IMMOSCHMIDT (Réf. 18833) - IXELLES (Châtelain) - LIBRE LE 01/02/2023 : Très bel appartement de +/- 85m² au 4ème et dernier étage se composant d'un salon avec un accès a une terrasse, d'une salle a manger avec une cuisine super équipée ouverte, d'une chambre, d'une buanderie avec une machine à laver, d'une salle de bain avec wc et d'un hall d'entrée. Double vitrage, Vidéophone et Alarme. Localisation idéale en face du Parc Tenbosch avec une magnifique vue sur ce parc. Proche des commerces et transports en commun. PEB: G (240 Kg/CO2/m²/an) Visites sur RDV au 02/736.77.44. Plus de détails et autres biens sur www.immoschmidt.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1924.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1202
Not specified,Not specified,Not specified,Not specified,Not specified,"€880 (+ €200)
880€ + 200€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 80 m²
square meters",1.0,Unknown,"16 m²
square meters",1.0,Gas,No,2.0,2.0,"80 m²
square meters","< than 80 m²
square meters","16 m²
square meters",Unknown,"3 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,No description,All kind,-1.0,"11 m²
square meters",Unknown,Unknown,Unknown,-1.0,Yes,Yes,No,No,No,No,No,Yes,Unknown,Unknown,1203
Not specified,Not specified,Not specified,Not specified,Not specified,"€450 (+ €150)
450€ + 150€ per month",1000 — Brussels,Apartment for rent,No,"1 bedroom | 14 m²
square meters",2.0,Unknown,"14 m²
square meters",1.0,Unknown,Yes,4.0,2.0,"14 m²
square meters","< than 14 m²
square meters","14 m²
square meters",No,Unknown,Yes,"77 , rue Dodonée
1180 - Uccle",http://www.metrop.be,5150702,Metropole Properties,Good,No,No,Unknown,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1204
"231 kWh/m²
kilowatt hour per square meters",E,201310130000017766011,Not specified,Not specified,"€1,200 (+ €40)
1200€ + 40€ per month",1000 — Bruxelles,Penthouse for rent,No,"1 bedroom | 100 m²
square meters",4.0,USA hyper equipped,"35 m²
square meters",1.0,Gas,Yes,4.0,Unknown,"100 m²
square meters","50 m²
square meters","35 m²
square meters",No,"25 m²
square meters",Unknown,"rue du Moulin 4
1340 - Ottignies",http://www.bureaugp.be,5222155,Bureau Gestion & Propriété,Good,No,Unknown,Unknown,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1205
Not specified,Not specified,0000000000000000000000000000000000000000,Not specified,Not specified,"€1,150 (+ €100)
1150€ + 100€ per month",1050 — Ixelles,Apartment for rent,No,"1 bedroom | 70 m²
square meters",3.0,Hyper equipped,Unknown,1.0,Gas,Unknown,4.0,Unknown,"70 m²
square meters","< than 70 m²
square meters",Unknown,Yes,Unknown,Unknown,"77 , rue Dodonée
1180 - Uccle",http://www.metrop.be,5219014,Metropole Properties,As new,Unknown,Unknown,Unknown,Unknown,"In the golden triangle of Ixelles (Louise Flagey, Toison d'or ) metro porte de namur superb flat fully furnished with design furniture, with a surface of 70m² in a beautiful mansion (classified building), with luxurious finishes and quality materials including a superb large living room, dining room, hyper-equipped kitchen, 1 bedroom, bathroom. Parquet floors throughout. High ceilings with mouldings. Close to shops, restaurants and transport, PEB E. All our properties are on our website : www.metrop.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1206
"294 kWh/m²
kilowatt hour per square meters",F,Not specified,Not specified,Not specified,"€1,000 (+ €100)
1000€ + 100€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 50 m²
square meters",999.0,Unknown,Unknown,1.0,Unknown,Unknown,999.0,Unknown,"50 m²
square meters","< than 50 m²
square meters",Unknown,Yes,Unknown,Yes,"77 , rue Dodonée
1180 - Uccle",http://www.metrop.be,5219067,Metropole Properties,As new,Unknown,Unknown,Unknown,Immediately,"In the historical heart of the city near many shops, restaurants and transport. Magnificent flat FURNISHED 1 BEDROOM MOBILE NEW AND DESIGN very bright completely renovated in first occupation of +- 50m ² including a beautiful living room with flat screen TV, a super equipped kitchen with dining area, a large separate bedroom with wardrobes, a spacious bathroom, w.c. Lease OK Company coup de coeur insured all our properties www.metrop.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1207
"197 kWh/m²
kilowatt hour per square meters",D,201303120000152376011,Not specified,Not specified,"€850 (+ €130)
850€ + 130€ per month",1160 — Auderghem,Apartment for rent,No,"1 bedroom | 75 m²
square meters",4.0,Hyper equipped,"15 m²
square meters",1.0,Gas,Yes,5.0,Unknown,"75 m²
square meters","30 m²
square meters","15 m²
square meters",Unknown,Unknown,Unknown,"rue du Moulin 4
1340 - Ottignies",http://www.bureaugp.be,5222107,Bureau Gestion & Propriété,As new,Yes,Unknown,Unknown,Depending on the tenant,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1208
"977 kWh/m²
kilowatt hour per square meters",G,201505310000288831019,Not specified,Not specified,"€1,160 (+ €150)
1160€ + 150€ per month",1180 — Uccle,Penthouse for rent,No,"2 bedrooms | 85 m²
square meters",5.0,Installed,"17 m²
square meters",1.0,Fuel oil,Yes,5.0,Unknown,"85 m²
square meters","26 m²
square meters","17 m²
square meters",Yes,"18 m²
square meters",Yes,"rue du Moulin 4
1340 - Ottignies",http://www.bureaugp.be,5222101,Bureau Gestion & Propriété,As new,Yes,Unknown,Unknown,Depending on the tenant,No description,All kind,1.0,"10 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1209
"81 kWh/m²
kilowatt hour per square meters",B,Not specified,16 kg CO₂/m²,Not specified,"€1,500 (+ €75)
1500€ + 75€ per month",1050 — Ixelles,Apartment for rent,No,"1 bedroom | 70 m²
square meters",6.0,Hyper equipped,"15 m²
square meters",1.0,Unknown,Unknown,5.0,2.0,"70 m²
square meters","32 m²
square meters","15 m²
square meters",Yes,Unknown,Unknown,"Avenue des Cerisiers, 95
1200 - Woluwe-St-Lambert",http://www.immoabita.be,5222130,ABITA IMMO,As new,Yes,Yes,No,Depending on the tenant,"CONTACT ONLY BY MAIL, SEVERAL SUGGESTION BY MAIL : n.martin@immoabita.be A proximité immédiate de la Place Flagey, bel appartement meublé chambre se compose comme suit : Hall d’entrée menant sur un séjour spacieux de +-32m2, cuisine américaine suréquipée (lave-vaisselle, frigo, congélateur, four, Ã), 1 dressing, 1 salle de bains et 2 chambres à coucher de +-15m2 et +-9m2 menant chacune à la salle de bains. Contact : n.martin@immoabita.be",All kind,15.0,Unknown,Unknown,Unknown,Unknown,2000.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Isolated,Unknown,1210
Not specified,Not specified,Not specified,Not specified,Not specified,"€2,350/month
2350€ per month",1030 — Schaarbeek,House for rent,No,"5 bedrooms | 180 m²
square meters",999.0,USA installed,"15 m²
square meters",3.0,Gas,Yes,999.0,3.0,"180 m²
square meters","30 m²
square meters","15 m²
square meters",Unknown,"12 m²
square meters",No,Unknown,Unknown,Unknown,Unknown,Just renovated,No,No,No,Unknown,"Spacious and bright house in a quiet courtyard with beautiful views and near the Josafat Park. This originally laid out house is located in a recent renovation (2023) with limited energy consumption and a terrasse with garden.

Upon entering, the living space immediately exudes all the quality in terms of light, openness and spaciousness.

5 big bedrooms

The kitchen is in perfect condition and finished with quality materials, including a worktop in composite, and fully equipped with appliances. The open kitchen is in close contact with the living space and yet somewhat visually separated from it.

In front of the apartment there is a south-facing terrace (14m²)

The bathrooms are very practically laid out with walk-in showers, quality washbasin cabinetry and handy built-in cupboards behind which toilet and laundry area are hidden.

Parking space optional for €50/month.
curtains, light fixtures INCLUDED.

End of the renovation 31/1/2023",All kind,1.0,"13 m²
square meters","19 m²
square meters",Unknown,Unknown,1901.0,Possible No,Yes,Yes,No,No,No,No,Yes,Urban,Yes,1211
"121 kWh/m²
kilowatt hour per square meters",C,00000000000000000,32 kg CO₂/m²,Not specified,"€1,150/month
1150€ per month",1200 — Woluwe-St-Lambert,Apartment for rent,No,"2 bedrooms | 120 m²
square meters",3.0,Unknown,Unknown,1.0,Unknown,Yes,5.0,Unknown,"120 m²
square meters","< than 120 m²
square meters",Unknown,No,Unknown,Yes,"77 , rue Dodonée
1180 - Uccle",http://www.metrop.be,5194726,Metropole Properties,As new,Yes,Unknown,Unknown,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1212
"184 kWh/m²
kilowatt hour per square meters",D,201305240000166763,55 kg CO₂/m²,Not specified,"€3,900 (+ €500)
3900€ + 500€ per month",Ask for the exact address,Apartment for rent,No,"3 bedrooms | 250 m²
square meters",7.0,Unknown,"23 m²
square meters",4.0,Unknown,Yes,10.0,2.0,"250 m²
square meters","72 m²
square meters","23 m²
square meters",No,"17 m²
square meters",No,"Avenue Louise 404a
1050 - Ixelles",http://www.barnes-brussels.com,8038968,BARNES BRUSSELS,As new,Yes,No,No,After signing the deed,"For rent, prestigious apartment with stunning views of the Jardins du Roi, on the 7th floor of a high-end building. With superb finishes, the apartment includes a 72m2 living room (flat-wifi screen), a modern hyper-equipped kitchen (Siemens) with wine cellar and large high table for 6 persons, 3 large bedrooms with dressing room, 1 bathroom, 2 shower rooms, 1 terrace.
Safety stores, reinforced door, new curtains, washing machine, dryer, 1 cellar and 1 indoor parking space included.
Rent: 3,900,-EUR Charges: 500,-EUR provision for commons, heating, water and electricity of the flat. Available from April 1st 2023.",All kind,-1.0,"20 m²
square meters","17 m²
square meters",Unknown,Unknown,1935.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1213
"297 kWh/m²
kilowatt hour per square meters",F,20211216-0000601650-01-8,47 kg CO₂/m²,Not specified,"€925 (+ €52)
925€ + 52€ per month",1070 — Anderlecht,Apartment for rent,No,"2 bedrooms | 82 m²
square meters",6.0,Unknown,"15 m²
square meters",1.0,Electric,Yes,11.0,2.0,"82 m²
square meters","26 m²
square meters","15 m²
square meters",No,"6 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,Good,Yes,No,No,Unknown,No description,All kind,-1.0,"11 m²
square meters",Unknown,Unknown,Unknown,1985.0,Possible No,No,Yes,No,No,No,No,Yes,Urban,Unknown,1214
